nv,mu,phi,pressure,temp
31,0.09685551505548305,0.5794862920770967,2.697478527426306e-06,9.253545864630624e-07
5,0.08494776691458673,0.75304840696038,1.0450823479849424e-05,9.251626982802746e-07
7,0.08810175736056135,0.7555581115724809,1.1010352843439324e-05,9.314019168349561e-07
11,0.0917953340839378,0.758690485945148,1.1252665493044844e-05,9.262100423354165e-07
13,0.09291928548568841,0.7595771635770012,1.1270905736463873e-05,9.251365592402884e-07
19,0.0949963704011567,0.7610557997395265,1.1409828935449811e-05,9.259480011008959e-07
31,0.09685551505548305,0.7624862920722111,1.142195854990521e-05,9.204892385627922e-07
5,0.08494776691458673,0.7790484069596866,1.4053814978872058e-05,9.255321392014353e-07
7,0.08810175736056135,0.7815581115718018,1.4988886788569662e-05,9.220430582580985e-07
11,0.0917953340839378,0.784690485944433,1.4846110649173405e-05,9.171902143890143e-07
13,0.09291928548568841,0.7855771635763124,1.5571850690328897e-05,9.218832991871359e-07
19,0.0949963704011567,0.7870557997388228,1.598080226930666e-05,9.321600464404432e-07
31,0.09685551505548305,0.7884862920715011,1.5893369682781517e-05,9.215087142133291e-07
5,0.08494776691458673,0.518048406966668,1.8552416719991068e-06,9.263264118747202e-07
7,0.08810175736056135,0.5205581115787885,1.8578594433673076e-06,9.200083903321681e-07
11,0.0917953340839378,0.5236904859513533,1.9824447177024217e-06,9.231643140105196e-07
13,0.09291928548568841,0.5245771635833187,1.9409437978344552e-06,9.341888223125067e-07
19,0.0949963704011567,0.5260557997458127,1.92338131407862e-06,9.22572280393542e-07
31,0.09685551505548305,0.5274862920784884,1.975797025518534e-06,9.26459058375233e-07
5,0.08494776691458673,0.6960484069619091,6.364255537500266e-06,9.227386506910526e-07
7,0.08810175736056135,0.6985581115740139,6.483083084408177e-06,9.211171356747221e-07
11,0.0917953340839378,0.7016904859466273,6.5680984632907854e-06,9.274461839108526e-07
13,0.09291928548568841,0.702577163578547,6.628859958559488e-06,9.248292106859823e-07
19,0.0949963704011567,0.7040557997410652,6.597042325747799e-06,9.210834969561662e-07
